,AWA_fs_COG_deg,AWA_fs_COW_deg,Circulation_magnitude,F_sails_COG.x,F_sails_COG.y,F_sails_COG.z,F_sails_COW.x,F_sails_COW.y,F_sails_COW.z,M_sails_COG.x,M_sails_COG.y,M_sails_COG.z,Pressure,V_app_fs_COG.x,V_app_fs_COG.y,V_app_fs_COG.z,V_app_fs_length,V_induced_COG.x,V_induced_COG.y,V_induced_COG.z,V_induced_length,AWA_infs_COG_deg,AWA_infs_COW_deg,TWS_COG.x,TWS_COG.y,TWS_COG.z,TWS_length,V_app_infs_COG.x,V_app_infs_COG.y,V_app_infs_COG.z,V_app_infs_length,cp_points_COG.x,cp_points_COG.y,cp_points_COG.z,cp_points_upright.z,girths,sail_name
164,12.457019618699276,7.457019618699276,1.1774643836496381,-2.0298438125070812,9.105276056157368,2.072082644310498,-2.8156967415707532,8.893715186664897,2.0720826443104983,27.880702886832132,-0.4290633906107866,29.19777984068707,-8.773753973647818,7.815330775556457,1.7264673361628446,0.06946591640701431,8.004055853611929,0.2277739986120677,-0.7552174645570572,0.06946591640701431,0.7918711554021819,18.111522144724056,13.111522144724056,2.9575567769443896,2.481684800719902,0.0,3.860816175237286,7.587556776944389,2.481684800719902,0.0,7.983093215883108,2.9519366839049934,1.1427388743616749,-2.801985721348397,-2.9124207854987527,-0.45157765522345433,main_sail
165,12.457019618699272,7.457019618699272,1.1774643836496455,-2.0298438125070906,9.105276056157416,-2.072082644310508,-2.8156967415707665,8.893715186664943,-2.0720826443105085,-27.88070288683228,0.42906339061079013,29.19777984068722,-8.773753973647871,7.815330775556457,1.7264673361628442,-0.06946591640701232,8.004055853611929,0.22777399861206787,-0.7552174645570578,-0.06946591640701232,0.7918711554021823,18.111522144724056,13.111522144724056,2.9575567769443896,2.481684800719902,0.0,3.860816175237286,7.587556776944389,2.481684800719902,0.0,7.983093215883108,2.9519366839049934,1.1427388743616747,2.801985721348397,2.9124207854987527,0.03454652788197653,main_sail
166,13.581708706471355,8.581708706471355,1.5785836993952964,-2.9445500490071077,12.368394143572996,-2.7969962726880158,-4.01132172526556,12.064694223157547,-2.796996272688016,-48.323909734490385,-2.55034350870803,39.59551828550401,-12.249964260530025,7.900724904759351,1.908716844884054,0.12287550893728771,8.128945343974543,0.20414457586643575,-0.6644495780654939,0.12287550893728771,0.705880046710273,18.486118324502556,13.486118324502556,3.066580328892916,2.573166422949548,0.0,4.0031363146597885,7.6965803288929155,2.573166422949548,0.0,8.115327115976063,2.8890791690637783,1.311659963748682,3.610428418312935,3.7387539533968566,0.10350986899969851,main_sail
167,14.570639276472646,9.570639276472646,1.7969437148089233,-3.600990122129173,14.220109707493167,-3.195708178785656,-4.826651491055581,13.852150928166509,-3.1957081787856567,-67.56750908845133,-6.878060426072951,45.53080282385229,-14.48141485671913,7.967318672963877,2.070971847673244,0.23757207835341926,8.235504339312024,0.1809325238730345,-0.5775506058819575,0.23757207835341926,0.6501859526034423,18.78562590756908,13.78562590756908,3.1563861490908436,2.6485224535552017,0.0,4.1203694869706275,7.786386149090843,2.6485224535552017,0.0,8.224504875659068,2.827373322892517,1.478827713399147,4.419206923320214,4.56509709213162,0.17247404225418628,main_sail
168,15.481231389725336,10.481231389725336,1.9230886542995174,-4.118111054984437,15.340453184996765,-3.4252565201747798,-5.439448990552573,14.923161101503899,-3.4252565201747807,-85.8353615628248,-12.065297212241445,49.16198927617855,-16.088852627224874,8.019990972241494,2.2213114052232736,0.3061698098484054,8.327557835660626,0.15689837929847278,-0.4915753970772118,0.3061698098484054,0.6000028540771407,19.035214819920583,14.035214819920583,3.233092592943022,2.7128868023004853,0.0,4.220502637914018,7.863092592943022,2.7128868023004853,0.0,8.317931228814745,2.7635524735159294,1.6434335649432847,5.228410077706948,5.39144726217111,0.24143880232073142,main_sail
169,16.33588391023825,11.335883910238248,1.979886227836927,-4.510917130557735,15.8984163241433,-3.5253218795201886,-5.879390012235049,15.444765717179921,-3.5253218795201895,-102.3587940456112,-17.73709269382345,50.98551554722614,-17.219348541236037,8.062397330636001,2.3630921662693094,0.3405694233247288,8.40847446540891,0.13213900060488562,-0.4061533812495455,0.3405694233247288,0.5462680813346455,19.24919737038675,14.24919737038675,3.3002583300311157,2.769245547518855,0.0,4.3081812807021915,7.930258330031116,2.769245547518855,0.0,8.399864170537574,2.6949194312510745,1.8046362266394755,6.038140435754199,6.217800747344879,0.31040383905865443,main_sail
170,17.144277128539684,12.144277128539684,1.972836830632859,-4.764083987613984,15.92790594932748,-3.505399394224908,-6.134163683153313,15.452078179971286,-3.505399394224909,-115.95903551353453,-23.44136001796361,51.08313960279421,-17.877185418619124,8.097146629580104,2.4978587284469116,0.3452309314761012,8.480699627050042,0.10700377021376593,-0.32163590555035454,0.3452309314761012,0.4838221353214562,19.4364907736092,14.4364907736092,3.360142859366339,2.819494633997266,0.0,4.386354981814625,7.990142859366339,2.819494633997266,0.0,8.47301203257863,2.620340265882798,1.9618894874391883,6.848472714477243,7.0441538033171875,0.37936883997668314,main_sail
171,17.90395268393933,12.90395268393933,1.8917386368409401,-4.825323476445492,15.339839150757534,-3.3485887619937005,-6.143916738626508,14.860911779977524,-3.3485887619937014,-124.5767474164875,-28.454516523674165,49.16560648200998,-17.90976206866531,8.126391711787406,2.6253721229132525,0.3166460398860673,8.545822707718234,0.08211756612616385,-0.23954405344921906,0.3166460398860673,0.40544958106390505,19.603027737681305,14.603027737681305,3.4142741456612433,2.8649161763624718,0.0,4.457018357524925,8.044274145661243,2.8649161763624718,0.0,8.539209051670845,2.5398213678686288,2.114916290496181,7.659452054148318,7.870502860520342,0.44833350716917364,main_sail
172,18.626866495187123,13.626866495187123,1.7181887326983698,-4.615089872600608,13.979957961244311,-3.0250070515903755,-5.815961681994921,13.52452841484337,-3.0250070515903764,-125.2729146340285,-31.67314639271676,44.74584761611892,-17.04951375741771,8.150877354958622,2.7473288520785193,0.2613251177965078,8.605399949696219,0.05714038083049744,-0.15909156540749744,0.2613251177965078,0.3112329778423569,19.752959160106943,14.752959160106943,3.4637369741281243,2.9064204174860166,0.0,4.5215874943565835,8.093736974128124,2.9064204174860166,0.0,8.599759173927387,2.4534923910492727,2.2634720925013956,8.471119578573685,8.696844152850105,0.5172975263281188,main_sail
173,19.309576947260883,14.309576947260883,1.4449647424831455,-4.075378730798099,11.78570893694897,-2.5261537631202273,-5.087062900544434,11.385668095980352,-2.5261537631202278,-115.49406317143391,-31.868355818967338,37.64255525102611,-15.083332893644824,8.17166106832139,2.8632084923486563,0.17509947729687,8.660523501101222,0.03233033921749678,-0.0814696281215158,0.17509947729687,0.19581209893623422,19.889303851069233,14.889303851069233,3.509330729103894,2.944678120470172,0.0,4.581105914449982,8.139330729103893,2.944678120470172,0.0,8.655624411381924,2.3614899276756844,2.4073154800958942,9.283515713624638,9.523173663303456,0.5862605622062353,main_sail
